trip_id,vehicle_id,attempt_number,draw_number,parking_index,success,is_planned_cell
91,9,1,1,106,False,False
91,9,1,2,112,True,True
92,9,1,1,95,True,True
93,9,1,1,101,False,False
93,9,1,2,100,False,True
93,9,2,1,101,True,True
94,9,1,1,75,False,True
94,9,2,1,68,True,True
95,9,1,1,146,False,True
95,9,2,1,152,False,True
95,9,3,1,146,True,True
96,9,1,1,32,True,True
97,9,1,1,11,True,True
98,9,1,1,32,False,True
98,9,2,1,41,True,True
99,9,1,1,103,False,False
99,9,1,2,110,False,True
99,9,2,1,103,False,False
99,9,2,2,97,False,True
99,9,3,1,110,True,False
100,10,1,1,34,False,False
100,10,1,2,21,False,True
100,10,2,1,21,False,True
100,10,3,1,21,False,True
100,10,4,1,21,False,True
100,10,5,1,34,False,True
100,10,6,1,34,True,True
101,10,1,1,61,True,True
102,10,1,1,116,False,True
102,10,2,1,116,True,True
103,10,1,1,1,False,True
103,10,2,1,10,False,False
103,10,2,2,13,True,False
104,10,1,1,47,False,True
104,10,2,1,53,True,False
105,10,1,1,78,False,True
105,10,2,1,78,True,True
106,10,1,1,148,False,True
106,10,2,1,148,True,True
107,10,1,1,76,False,True
107,10,2,1,76,True,True
108,10,1,1,66,False,True
108,10,2,1,66,False,True
108,10,3,1,66,False,True
108,10,4,1,66,False,True
108,10,5,1,66,False,True
108,10,6,1,66,True,True
109,10,1,1,28,False,True
109,10,2,1,21,False,True
109,10,3,1,21,False,True
109,10,4,1,28,False,True
109,10,5,1,28,False,True
109,10,6,1,21,False,True
109,10,7,1,21,True,True
110,11,1,1,57,False,True
110,11,2,1,58,True,True
111,11,1,1,81,True,True
112,11,1,1,22,False,True
112,11,2,1,28,False,True
112,11,3,1,28,False,True
112,11,4,1,28,True,True
113,11,1,1,121,True,True
114,11,1,1,27,True,True
115,11,1,1,133,False,True
115,11,2,1,133,False,True
115,11,3,1,133,True,True
116,11,1,1,95,True,True
117,11,1,1,95,False,True
117,11,2,1,95,True,True
118,11,1,1,75,False,False
118,11,1,2,68,True,True
119,11,1,1,81,True,True
120,12,1,1,54,False,True
120,12,2,1,54,False,True
120,12,3,1,49,False,True
120,12,4,1,54,False,True
120,12,5,1,54,True,True
121,12,1,1,25,False,True
121,12,2,1,25,False,True
121,12,3,1,25,False,True
121,12,4,1,25,False,True
121,12,5,1,25,False,True
121,12,6,1,26,True,True
122,12,1,1,43,False,False
122,12,1,2,47,False,True
122,12,2,1,47,False,True
122,12,3,1,47,False,True
122,12,4,1,47,False,True
122,12,5,1,47,True,True
123,12,1,1,58,False,True
123,12,2,1,59,False,False
123,12,2,2,67,True,False
124,12,1,1,103,False,False
124,12,1,2,110,True,True
125,12,1,1,104,False,False
125,12,1,2,105,True,True
126,12,1,1,70,True,True
127,12,1,1,78,True,True
128,12,1,1,48,False,True
128,12,2,1,80,False,False
128,12,2,2,83,True,True
129,12,1,1,40,False,True
129,12,2,1,39,False,False
129,12,2,2,26,True,True
130,13,1,1,133,False,True
130,13,2,1,147,False,True
130,13,3,1,147,True,True
131,13,1,1,45,False,True
131,13,2,1,45,True,True
132,13,1,1,150,False,False
132,13,1,2,153,True,True
133,13,1,1,104,True,True
134,13,1,1,48,True,True
135,13,1,1,84,True,True
136,13,1,1,71,False,True
136,13,2,1,71,True,True
137,13,1,1,6,True,True
138,13,1,1,107,False,True
138,13,2,1,107,True,True
139,13,1,1,86,True,True
140,14,1,1,51,False,True
140,14,2,1,50,True,True
141,14,1,1,59,True,False
142,14,1,1,55,True,True
143,14,1,1,128,False,True
143,14,2,1,121,False,False
143,14,2,2,122,False,True
143,14,3,1,122,False,True
143,14,4,1,139,False,True
143,14,5,1,143,True,True
144,14,1,1,77,True,False
145,14,1,1,129,True,True
146,14,1,1,7,False,True
146,14,2,1,7,True,True
147,14,1,1,58,False,False
147,14,1,2,65,True,True
148,14,1,1,88,False,True
148,14,2,1,87,False,True
