estimator,parking_index,theta_hat,successes,exposure
stop_confirmed,119,0.45454545454545453,4.0,9.0
stop_confirmed,120,0.5833333333333334,6.0,10.0
stop_confirmed,121,0.6363636363636364,6.0,9.0
stop_confirmed,122,0.1875,5.0,30.0
stop_confirmed,123,0.6,2.0,3.0
stop_confirmed,124,0.5,3.0,6.0
stop_confirmed,125,0.4166666666666667,4.0,10.0
stop_confirmed,126,0.25,7.0,30.0
stop_confirmed,127,0.23809523809523808,9.0,40.0
stop_confirmed,128,0.5,6.0,12.0
stop_confirmed,129,0.6,5.0,8.0
stop_confirmed,130,0.5,6.0,12.0
stop_confirmed,131,0.5,1.0,2.0
stop_confirmed,132,0.5,2.0,4.0
stop_confirmed,133,0.38461538461538464,4.0,11.0
stop_confirmed,134,0.391304347826087,8.0,21.0
stop_confirmed,135,0.42105263157894735,7.0,17.0
stop_confirmed,136,0.42857142857142855,2.0,5.0
stop_confirmed,137,0.75,5.0,6.0
stop_confirmed,138,0.4,1.0,3.0
stop_confirmed,139,0.35714285714285715,4.0,12.0
stop_confirmed,140,0.29411764705882354,4.0,15.0
stop_confirmed,141,0.4,7.0,18.0
stop_confirmed,142,0.23529411764705882,3.0,15.0
stop_confirmed,143,0.3469387755102041,16.0,47.0
stop_confirmed,144,0.625,4.0,6.0
stop_confirmed,145,0.3333333333333333,2.0,7.0
stop_confirmed,146,0.7647058823529411,12.0,15.0
stop_confirmed,147,0.47368421052631576,8.0,17.0
stop_confirmed,148,0.17142857142857143,5.0,33.0
stop_confirmed,149,0.45454545454545453,4.0,9.0
stop_confirmed,150,0.8181818181818182,8.0,9.0
stop_confirmed,151,0.5128205128205128,19.0,37.0
stop_confirmed,152,0.3,11.0,38.0
stop_confirmed,153,0.6666666666666666,3.0,4.0
stop_confirmed,154,0.6363636363636364,13.0,20.0
oracle_exposure,0,0.8571428571428571,11.0,12.0
oracle_exposure,1,0.4117647058823529,13.0,32.0
oracle_exposure,2,0.7538461538461538,48.0,63.0
oracle_exposure,3,0.41025641025641024,31.0,76.0
oracle_exposure,4,0.5952380952380952,24.0,40.0
oracle_exposure,5,0.8125,25.0,30.0
oracle_exposure,6,0.4857142857142857,16.0,33.0
oracle_exposure,7,0.22580645161290322,27.0,122.0
oracle_exposure,8,0.3770491803278688,22.0,59.0
oracle_exposure,9,0.43478260869565216,9.0,21.0
oracle_exposure,10,0.8378378378378378,30.0,35.0
oracle_exposure,11,0.5833333333333334,41.0,70.0
oracle_exposure,12,0.696969696969697,22.0,31.0
oracle_exposure,13,0.5,20.0,40.0
oracle_exposure,14,0.42857142857142855,29.0,68.0
oracle_exposure,15,0.5204081632653061,50.0,96.0
oracle_exposure,16,0.4305555555555556,30.0,70.0
oracle_exposure,17,0.631578947368421,23.0,36.0
oracle_exposure,18,0.4782608695652174,21.0,44.0
oracle_exposure,19,0.2413793103448276,6.0,27.0
oracle_exposure,20,0.417910447761194,27.0,65.0
oracle_exposure,21,0.14285714285714285,8.0,61.0
oracle_exposure,22,0.4722222222222222,33.0,70.0
