trip_id,vehicle_id,attempt_number,planned_index,actual_index,success,stopped_early,early_eligible_indices
65,6,1,113,113,True,False,
66,6,1,37,37,True,False,
67,6,1,57,57,False,False,
67,6,2,57,57,True,False,
68,6,1,135,135,True,False,
69,6,1,43,43,False,False,
69,6,2,22,22,True,False,
70,7,1,75,75,False,False,
70,7,2,82,79,True,True,79
71,7,1,4,4,True,False,
72,7,1,111,111,False,False,
72,7,2,122,122,False,False,
72,7,3,120,121,True,True,121
73,7,1,99,99,False,False,
73,7,2,96,96,False,False,
73,7,3,115,115,True,False,107
74,7,1,124,123,True,True,122 123
75,7,1,145,145,False,False,
75,7,2,138,138,True,False,
76,7,1,95,95,True,False,
77,7,1,48,48,False,False,
77,7,2,48,48,False,False,
77,7,3,61,61,True,False,
78,7,1,97,97,False,False,
78,7,2,85,85,True,False,
79,7,1,96,96,False,False,
79,7,2,116,116,False,False,
79,7,3,116,116,False,False,
79,7,4,96,96,False,False,
79,7,5,89,89,False,False,
79,7,6,96,96,True,False,
80,8,1,107,107,False,False,
80,8,2,107,107,False,False,
80,8,3,90,90,True,False,
81,8,1,126,126,True,False,
82,8,1,60,60,True,False,
83,8,1,59,59,True,False,
84,8,1,74,74,False,False,
84,8,2,76,76,False,False,
84,8,3,74,74,False,False,
84,8,4,74,74,True,False,
85,8,1,113,113,False,False,
85,8,2,93,93,False,False,
85,8,3,93,93,False,False,
85,8,4,93,93,False,False,
85,8,5,94,94,False,False,
85,8,6,94,94,False,False,
85,8,7,94,94,False,False,
85,8,8,94,94,False,False,
85,8,9,94,94,True,False,
86,8,1,41,41,True,False,59
87,8,1,56,56,False,False,
87,8,2,37,37,True,False,49
88,8,1,59,59,False,False,
88,8,2,57,57,False,False,58
88,8,3,59,59,False,False,
88,8,4,59,59,True,False,
89,8,1,70,70,True,False,71
90,9,1,71,76,True,True,76 74
91,9,1,112,112,True,False,106
92,9,1,95,95,True,False,
93,9,1,100,100,False,False,101
93,9,2,101,101,True,False,
94,9,1,75,75,False,False,
94,9,2,68,68,True,False,
95,9,1,146,146,False,False,
95,9,2,152,152,False,False,
95,9,3,146,146,True,False,
96,9,1,32,32,True,False,
97,9,1,11,11,True,False,
98,9,1,32,32,False,False,
98,9,2,41,41,True,False,
99,9,1,110,110,False,False,103
99,9,2,97,97,False,False,103
99,9,3,109,110,True,True,110
100,10,1,21,21,False,False,34
100,10,2,21,21,False,False,
100,10,3,21,21,False,False,
100,10,4,21,21,False,False,
100,10,5,34,34,False,False,
100,10,6,34,34,True,False,
101,10,1,61,61,True,False,
102,10,1,116,116,False,False,
102,10,2,116,116,True,False,
103,10,1,1,1,False,False,
103,10,2,29,13,True,True,10 13 24
104,10,1,47,47,False,False,
104,10,2,61,53,True,True,53
105,10,1,78,78,False,False,
105,10,2,78,78,True,False,
106,10,1,148,148,False,False,
106,10,2,148,148,True,False,
107,10,1,76,76,False,False,
107,10,2,76,76,True,False,
108,10,1,66,66,False,False,
108,10,2,66,66,False,False,
108,10,3,66,66,False,False,
108,10,4,66,66,False,False,
108,10,5,66,66,False,False,
108,10,6,66,66,True,False,
109,10,1,28,28,False,False,
109,10,2,21,21,False,False,
109,10,3,21,21,False,False,
109,10,4,28,28,False,False,
109,10,5,28,28,False,False,
109,10,6,21,21,False,False,
109,10,7,21,21,True,False,
110,11,1,57,57,False,False,
110,11,2,58,58,True,False,
111,11,1,81,81,True,False,
112,11,1,22,22,False,False,
112,11,2,28,28,False,False,
112,11,3,28,28,False,False,
112,11,4,28,28,True,False,
113,11,1,121,121,True,False,
114,11,1,27,27,True,False,
115,11,1,133,133,False,False,
115,11,2,133,133,False,False,
115,11,3,133,133,True,False,
116,11,1,95,95,True,False,
117,11,1,95,95,False,False,
117,11,2,95,95,True,False,
118,11,1,68,68,True,False,75
119,11,1,81,81,True,False,
120,12,1,54,54,False,False,
120,12,2,54,54,False,False,
120,12,3,49,49,False,False,
120,12,4,54,54,False,False,
120,12,5,54,54,True,False,
121,12,1,25,25,False,False,
121,12,2,25,25,False,False,
121,12,3,25,25,False,False,
121,12,4,25,25,False,False,
121,12,5,25,25,False,False,
121,12,6,26,26,True,False,
122,12,1,47,47,False,False,43
122,12,2,47,47,False,False,
122,12,3,47,47,False,False,
122,12,4,47,47,False,False,
122,12,5,47,47,True,False,
123,12,1,58,58,False,False,
123,12,2,68,67,True,True,59 67
124,12,1,110,110,True,False,103
125,12,1,105,105,True,False,104
126,12,1,70,70,True,False,
127,12,1,78,78,True,False,
128,12,1,48,48,False,False,
128,12,2,83,83,True,False,80
129,12,1,40,40,False,False,
129,12,2,26,26,True,False,39
130,13,1,133,133,False,False,
130,13,2,147,147,False,False,
130,13,3,147,147,True,False,
131,13,1,45,45,False,False,
131,13,2,45,45,True,False,
132,13,1,153,153,True,False,150
133,13,1,104,104,True,False,
134,13,1,48,48,True,False,
135,13,1,84,84,True,False,
136,13,1,71,71,False,False,
136,13,2,71,71,True,False,
137,13,1,6,6,True,False,
138,13,1,107,107,False,False,
