rep,seed,n_vehicles,trips_per_vehicle,total_trips,K,estimator,mae,rmse,corr,n_used
1,10050,50,10,500,176,trace_exposure,0.23845714435206508,0.28249426511616854,0.36661458140676767,176
1,10050,50,10,500,176,stop_confirmed,0.1499821119243432,0.18226057112248617,0.3489607350127136,176
1,10050,50,10,500,176,oracle_exposure,0.1264919380688022,0.15493621820489037,0.6242514126557615,176
1,10100,100,10,1000,176,trace_exposure,0.23780917810046495,0.27991722485512915,0.3982368451253123,176
1,10100,100,10,1000,176,stop_confirmed,0.14611811259638177,0.1786544323441599,0.4373915364125167,176
1,10100,100,10,1000,176,oracle_exposure,0.10106860385374362,0.13465808018420025,0.751987022912203,176
1,10200,200,10,2000,176,trace_exposure,0.2474906697454219,0.29253543172230945,0.38407530324860323,176
1,10200,200,10,2000,176,stop_confirmed,0.13327426463308856,0.16718021596843605,0.5526126580946813,176
1,10200,200,10,2000,176,oracle_exposure,0.07430754102628778,0.09498144431544901,0.8657087528646449,176
1,10500,500,10,5000,176,trace_exposure,0.24538984466623398,0.2884106589280812,0.43795130584121694,176
1,10500,500,10,5000,176,stop_confirmed,0.11103858336071468,0.14046022962209812,0.7113523007628804,176
1,10500,500,10,5000,176,oracle_exposure,0.050944617013265116,0.06384367747634838,0.9396046668000144,176
1,11000,1000,10,10000,176,trace_exposure,0.2455575885948467,0.2890089913067543,0.44192306026539563,176
1,11000,1000,10,10000,176,stop_confirmed,0.07622074962555138,0.09966611950226023,0.8418224770743588,176
1,11000,1000,10,10000,176,oracle_exposure,0.03672002948258564,0.04739650936571259,0.9647372012715361,176
1,12000,2000,10,20000,176,trace_exposure,0.24505389830199345,0.2869035615568179,0.4515619934533731,176
1,12000,2000,10,20000,176,stop_confirmed,0.04919744932395614,0.06322411171807478,0.9372055206533458,176
1,12000,2000,10,20000,176,oracle_exposure,0.026482922897777372,0.03390957582292699,0.9816922737605176,176
1,15000,5000,10,50000,176,trace_exposure,0.2457636448860826,0.2878978204957551,0.45378474247686873,176
1,15000,5000,10,50000,176,stop_confirmed,0.039241731684338976,0.0528395077884295,0.9544277702788637,176
1,15000,5000,10,50000,176,oracle_exposure,0.015451594902315503,0.01943782471365098,0.9939026616516536,176
2,20050,50,10,500,192,trace_exposure,0.24757199120441,0.2949554366519817,0.33465332858447344,192
2,20050,50,10,500,192,stop_confirmed,0.14212000106316283,0.1741716912461426,0.3835533101880356,192
2,20050,50,10,500,192,oracle_exposure,0.12298101013559808,0.15919262346611807,0.6050731012864949,192
2,20100,100,10,1000,192,trace_exposure,0.26016647251325087,0.30577234984224033,0.37300889811492155,192
2,20100,100,10,1000,192,stop_confirmed,0.15686378676609486,0.19226398983263454,0.3162167040260812,192
2,20100,100,10,1000,192,oracle_exposure,0.10516522203858934,0.13084527673155674,0.7579448180834983,192
2,20200,200,10,2000,192,trace_exposure,0.2625574704141442,0.3057390748509524,0.41379479489713417,192
2,20200,200,10,2000,192,stop_confirmed,0.1386096510397377,0.17606215817016246,0.4805281797057,192
2,20200,200,10,2000,192,oracle_exposure,0.08712523198028312,0.11073988333285058,0.8104502810087739,192
2,20500,500,10,5000,192,trace_exposure,0.26459848573785943,0.3076894627562276,0.4321795538487868,192
2,20500,500,10,5000,192,stop_confirmed,0.1078714107621022,0.1345119419099278,0.7317251934759613,192
2,20500,500,10,5000,192,oracle_exposure,0.05582368389448863,0.0701443572612892,0.9249062377209838,192
2,21000,1000,10,10000,192,trace_exposure,0.2626031528185631,0.308163469579055,0.44568368992559304,192
2,21000,1000,10,10000,192,stop_confirmed,0.08039622740203999,0.10498164298277017,0.8324398072628,192
2,21000,1000,10,10000,192,oracle_exposure,0.03740036377231151,0.04776764091375242,0.9639369894147384,192
2,22000,2000,10,20000,192,trace_exposure,0.26110423595024573,0.3050765032288964,0.4482852437243393,192
2,22000,2000,10,20000,192,stop_confirmed,0.06280444462267848,0.08310179967306186,0.8921375428607132,192
2,22000,2000,10,20000,192,oracle_exposure,0.022752763213101625,0.028808006692242934,0.9865008857285825,192
2,25000,5000,10,50000,192,trace_exposure,0.2634063934049638,0.30678150986345315,0.44497251316605396,192
2,25000,5000,10,50000,192,stop_confirmed,0.03996402704547701,0.05265698236166659,0.9564209928999291,192
